Years,Status,Manner,Start,Military,Age,Conflict,LogInc,Growth,Population,Land,Literacy,Region
0.5,1,1,1970,1,50,0,7.4,0.5,30.5,2767,94,3
2,1,0,1974,0,43,0,7.4,0.5,30.5,2767,94,3
0.5,1,1,1964,1,42,1,5.44,0.6,6.4,1099,63,3
0.5,1,1,1965,1,47,1,5.44,0.6,6.4,1099,63,3
0.5,1,0,1969,0,44,1,5.44,0.6,6.4,1099,63,3
0.5,1,1,1970,1,49,1,5.44,0.6,6.4,1099,63,3
7,1,1,1971,1,45,1,5.44,0.6,6.4,1099,63,3
0.5,1,1,1978,1,47,1,5.44,0.6,6.4,1099,63,3
0.5,1,0,1979,0,68,1,5.44,0.6,6.4,1099,63,3
1,1,1,1980,0,50,1,5.44,0.6,6.4,1099,63,3
0.5,1,0,1982,1,45,1,5.44,0.6,6.4,1099,63,3
2,1,0,1961,0,43,1,6.63,5,135.6,8512,76,3
2,1,0,1967,1,65,1,6.63,5,135.6,8512,76,3
2,1,0,1970,0,62,0,6.58,-0.1,12.1,757,94,3
1,1,0,1961,0,54,0,6.25,3.9,6.4,49,74,3
0.5,1,0,1963,0,54,0,6.25,3.9,6.4,49,74,3
0.5,1,1,1963,0,,0,6.25,3.9,6.4,49,74,3
2,1,1,1963,0,40,0,6.25,3.9,6.4,49,74,3
0.5,1,1,1965,0,,0,6.25,3.9,6.4,49,74,3
0.5,1,1,1965,1,45,0,6.25,3.9,6.4,49,74,3
1,1,1,1961,0,42,0,5.94,4.6,9.4,284,85,3
2,1,1,1963,1,48,0,5.94,4.6,9.4,284,85,3
4,1,1,1972,1,49,0,5.94,4.6,9.4,284,85,3
0.5,1,1,1960,1,,1,5.86,-0.2,4.8,21,65,3
0.5,1,1,1961,1,,1,5.86,-0.2,4.8,21,65,3
2,1,0,1977,1,43,1,5.86,-0.2,4.8,21,65,3
1,1,1,1979,1,43,1,5.86,-0.2,4.8,21,65,3
5,1,0,1974,0,52,0,6.04,0.9,0.1,0.34,85,3
4,1,1,1979,0,36,0,6.04,0.9,0.1,0.34,85,3
0.5,1,1,1983,1,,0,6.04,0.9,0.1,0.34,85,3
0.5,1,0,1982,1,56,1,6.21,2.1,8,109,50,3
1,1,1,1982,1,56,1,6.21,2.1,8,109,50,3
15,1,0,1971,0,20,1,5.3,1.1,5.9,28,23,3
11,1,1,1963,1,42,1,5.77,0.6,4.4,112,56,3
3,1,1,1975,1,44,1,5.77,0.6,4.4,112,56,3
0.5,1,0,1966,0,66,0,6.29,-1.8,3.3,130,88,3
11,1,1,1967,1,34,0,6.29,-1.8,3.3,130,88,3
4,1,0,1964,0,59,0,6.82,2.9,2.2,77,90,3
0.5,1,1,1981,1,,0,6.82,2.9,2.2,77,90,3
0.5,1,1,1982,1,48,0,6.82,2.9,2.2,77,90,3
0.5,1,0,1962,0,67,1,6.43,0.1,18.6,1285,80,3
0.5,1,1,1962,1,59,1,6.43,0.1,18.6,1285,80,3
5,1,0,1963,0,50,1,6.43,0.1,18.6,1285,80,3
6,1,1,1968,1,58,1,6.43,0.1,18.6,1285,80,3
6,1,0,1973,0,37,1,7.22,4.5,0.39,163,65,3
5,1,0,1971,0,43,0,6.86,2,3,176,94,3
0.5,1,1,1976,0,80,0,6.86,2,3,176,94,3
5,1,1,1976,0,72,0,6.86,2,3,176,94,3
