Last,First,HOF,From,To,Position,Ht,Wt,Month,Day,Year,Country
Bauman,Garry,N,1967,1969,G,71,175,July,21,1940,Canada
Rousseau,Bobby,N,1961,1975,F,70,178,July,26,1940,Canada
Gagne,Pierre,N,1960,1960,F,73,180,June,5,1940,Canada
McCreary,Keith,N,1965,1975,F,70,180,June,19,1940,Canada
Lecaine,Bill,N,1969,1969,F,73,172,March,11,1940,Canada
Keon,Dave,Y,1961,1982,F,69,165,March,22,1940,Canada
Green,Ted,N,1961,1972,D,70,200,March,23,1940,Canada
McCallum,Dunc,N,1966,1971,D,73,193,March,29,1940,Canada
Joyal,Eddie,N,1963,1972,F,73,178,May,8,1940,Canada
Mikita,Stan,Y,1959,1980,F,69,169,May,20,1940,Czech Republic
VanImpe,Ed,N,1967,1977,D,70,205,May,27,1940,Canada
Villemure,Gilles,N,1964,1977,G,68,185,May,30,1940,Canada
Hall,Murray,N,1962,1972,F,73,175,November,24,1940,Canada
Wakely,Ernie,N,1963,1972,G,71,160,November,27,1940,Canada
Neilson,Jim,N,1963,1978,D,74,205,November,28,1940,Canada
Martin,Jack,N,1961,1961,F,71,184,November,29,1940,Canada
Keenan,Larry,N,1962,1972,F,71,175,October,1,1940,Canada
Draper,Bruce,N,1963,1963,F,70,157,October,2,1940,Canada
Ratelle,Jean,Y,1961,1981,F,73,180,October,3,1940,Canada
Hadfield,Vic,N,1962,1977,F,73,190,October,4,1940,Canada
Broderick,Len,N,1958,1958,G,71,175,October,11,1940,Canada
Jeffrey,Larry,N,1962,1969,F,71,189,October,12,1940,Canada
Kozak,Les,N,1962,1962,F,73,185,October,28,1940,Canada
Smith,Brian,N,1968,1969,F,71,170,September,6,1940,Canada
Westfall,Ed,N,1962,1979,D,73,197,September,19,1940,Canada
Miszuk,John,N,1964,1970,D,73,192,September,29,1940,Poland
Trottier,Guy,N,1969,1972,F,68,165,April,1,1941,Canada
MacGregor,Bruce,N,1961,1974,F,70,180,April,26,1941,Canada
Dillabough,Bob,N,1962,1970,F,70,180,April,27,1941,Canada
Standing,George,N,1968,1968,F,70,190,August,3,1941,Canada
MacKenzie,Barry,N,1969,1969,D,73,190,August,16,1941,Canada
Woytowich,Bob,N,1965,1972,D,73,185,August,18,1941,Canada
MacDonald,Lowell,N,1962,1978,F,71,185,August,30,1941,Canada
McMahon,Mike,N,1964,1972,D,71,180,August,30,1941,Canada
Conacher,Brian,N,1962,1972,F,75,197,August,31,1941,Canada
Parise,J.P.,N,1966,1979,F,69,175,December,11,1941,Canada
Muloin,Wayne,N,1964,1971,D,68,175,December,24,1941,Canada
Sterner,Ulf,N,1965,1965,F,74,187,February,11,1941,Sweden
Cardin,Claude,N,1968,1968,F,70,178,February,17,1941,Canada
Cunningham,Bob,N,1961,1962,F,71,168,February,26,1941,Canada
Gilbert,Rod,Y,1961,1978,F,69,180,July,1,1941,Canada
Andrea,Paul,N,1966,1971,F,70,174,July,31,1941,Canada
Nanne,Lou,N,1968,1978,D,73,185,June,2,1941,Canada
Johnston,Marshall,N,1968,1974,D,71,175,June,6,1941,Canada
Fortin,Ray,N,1968,1970,D,68,180,March,11,1941,Canada
Leiter,Bobby,N,1963,1976,F,69,175,March,22,1941,Canada
Plager,Barclay,N,1968,1977,D,71,175,March,26,1941,Canada
Hextall,Bryan,N,1963,1976,F,71,185,May,23,1941,Canada
Laperriere,Jacques,Y,1963,1974,D,74,180,November,22,1941,Canada
Nolet,Simon,N,1968,1977,F,69,185,November,23,1941,Canada
Beaudin,Norm,N,1968,1971,F,68,165,November,28,1941,Canada
Hale,Larry,N,1969,1972,D,73,180,October,9,1941,Canada
Smith,Dallas,N,1960,1978,D,71,180,October,10,1941,Canada
Dryden,Dave,N,1962,1980,G,73,186,September,5,1941,Canada
Gray,Harrison,N,1964,1964,G,71,165,September,5,1941,Canada
Dufour,Marc,N,1964,1969,F,73,175,September,11,1941,Canada
Gill,Andre,N,1968,1968,G,67,145,September,19,1941,Canada
Cullen,Ray,N,1966,1971,F,71,180,September,20,1941,Canada
Menard,Howie,N,1964,1970,F,68,160,April,28,1942,Canada
Norris,Jack,N,1965,1971,G,70,185,August,5,1942,Canada
Rupp,Pat,N,1964,1964,G,71,180,August,12,1942,USA
Wall,Bob,N,1965,1972,D,70,171,December,1,1942,Canada
Champoux,Bob,N,1974,1974,G,70,175,December,2,1942,Canada
Gagnon,Germain,N,1972,1976,F,73,175,December,9,1942,Canada
Dennis,Norm,N,1969,1972,F,70,175,December,10,1942,Canada
Rivers,Wayne,N,1962,1969,F,69,177,February,1,1942,Canada
Swarbrick,George,N,1968,1971,F,70,175,February,16,1942,Canada
Broderick,Ken,N,1970,1975,G,70,178,February,16,1942,Canada
Esposito,Phil,Y,1964,1981,F,73,205,February,20,1942,Canada
Taylor,Ted,N,1965,1972,F,73,175,February,25,1942,Canada
Harris,Duke,N,1968,1968,F,70,180,February,25,1942,Canada
Rutledge,Wayne,N,1968,1970,G,74,200,January,5,1942,Canada
Knibbs,Bill,N,1965,1965,F,73,180,January,24,1942,Canada
Brown,Arnie,N,1962,1974,D,73,185,January,28,1942,Canada
Lafreniere,Roger,N,1963,1973,F,73,190,July,24,1942,Canada
Harris,Ron,N,1963,1976,D,70,190,June,30,1942,Canada
Larose,Claude,N,1963,1978,F,73,180,March,2,1942,Canada
Crozier,Roger,N,1964,1977,G,68,165,March,16,1942,Canada
Speer,Bill,N,1968,1971,D,71,205,March,20,1942,Canada
Johnson,Jim,N,1965,1972,F,69,190,November,7,1942,Canada
Watson,Bryan,N,1964,1979,D,69,175,November,14,1942,Canada
Heiskala,Earl,N,1969,1971,F,73,185,November,30,1942,Canada
Cusson,Jean,N,1968,1968,F,70,170,October,5,1942,Canada
Gardner,George,N,1966,1972,G,68,165,October,8,1942,Canada
Peters,Garry,N,1965,1972,F,70,185,October,9,1942,Canada
Taylor,Billy,N,1965,1965,F,73,175,October,14,1942,Canada
Roberts,Doug,N,1966,1975,F,74,212,October,28,1942,USA
Jarrett,Gary,N,1961,1972,F,68,170,September,3,1942,Canada
MacSweyn,Ralph,N,1968,1972,D,71,190,September,8,1942,Canada
Maxner,Wayne,N,1965,1966,F,71,180,September,27,1942,Canada
Clancy,Terry,N,1968,1973,F,71,195,April,2,1943,Canada
Polanic,Tom,N,1970,1971,D,75,205,April,2,1943,Canada
Lemieux,Jacques,N,1968,1970,D,74,190,April,8,1943,Canada
Hextall,Dennis,N,1969,1980,F,71,175,April,17,1943,Canada
Esposito,Tony,Y,1969,1984,G,71,185,April,23,1943,Canada
Boehm,Ron,N,1968,1968,F,68,160,August,14,1943,Canada
Harbaruk,Nick,N,1970,1974,F,73,195,August,16,1943,Poland
Stemkowski,Pete,N,1964,1978,F,73,196,August,25,1943,Canada
Sabourin,Gary,N,1968,1977,F,71,180,December,4,1943,Canada
Martin,Hubert,N,1962,1979,F,69,170,December,9,1943,Canada
Schock,Ron,N,1964,1978,F,71,180,December,19,1943,Canada
Dineen,Gary,N,1969,1969,F,70,175,December,24,1943,Canada
Dornhoefer,Gary,N,1964,1978,F,73,190,February,2,1943,Canada
Smith,Wayne,N,1967,1967,D,73,195,February,12,1943,Canada
Daley,Joe,N,1969,1972,G,70,170,February,20,1943,Canada
Popiel,Poul,N,1966,1980,D,70,175,February,28,1943,Denmark
Brenneman,John,N,1965,1969,F,70,175,January,5,1943,Canada
Henderson,Paul,N,1963,1980,F,71,180,January,28,1943,Canada
Quinn,Pat,N,1969,1977,D,75,205,January,29,1943,Canada
Watson,Joe,N,1965,1979,D,70,185,July,6,1943,Canada
Collins,Bill,N,1968,1978,F,73,178,July,13,1943,Canada
Awrey,Don,N,1964,1979,D,73,175,July,18,1943,Canada
Johnston,Larry,N,1968,1977,D,71,195,July,20,1943,Canada
Flett,Bill,N,1968,1980,F,73,205,July,21,1943,Canada
Bradley,Lyle,N,1974,1977,F,69,160,July,31,1943,Canada
Hughes,Brent,N,1968,1975,D,73,205,June,17,1943,Canada
Watson,Jim,N,1964,1972,D,74,186,June,28,1943,Canada
Veneruzzo,Gary,N,1968,1972,F,68,165,June,28,1943,Canada
MacMillan,Billy,N,1971,1977,F,70,185,March,7,1943,Canada
Pratt,Tracy,N,1968,1977,D,74,195,March,8,1943,USA
Plager,Bob,N,1965,1978,D,71,195,March,11,1943,Canada
Inglis,Billy,N,1968,1971,F,69,160,May,11,1943,Canada
Crisp,Terry,N,1966,1977,F,70,180,May,28,1943,Canada
Cournoyer,Yvan,Y,1964,1979,F,67,178,November,22,1943,Canada
Marshall,Bert,N,1966,1979,D,75,205,November,22,1943,Canada
Murray,Jim,N,1968,1968,D,73,165,November,25,1943,Canada
Berry,Bob,N,1969,1977,F,73,185,November,29,1943,Canada
Krake,Skip,N,1964,1971,F,71,170,October,14,1943,Canada
Mickey,Larry,N,1965,1975,F,71,175,October,21,1943,Canada
Sather,Glen,Y,1967,1976,F,71,180,September,2,1943,Canada
Paul,Butch,N,1965,1965,F,71,160,September,11,1943,Canada
Champagne,Andre,N,1963,1963,F,73,190,September,19,1943,Canada
Boudrias,Andre,N,1964,1976,F,68,165,September,19,1943,Canada
Sjoberg,Lars-Erik,N,1980,1980,D,68,179,April,5,1944,Sweden
Perry,Brian,N,1969,1971,F,71,180,April,6,1944,England
Wright,Keith,N,1968,1968,F,73,180,April,13,1944,Canada
Jarrett,Doug,N,1965,1977,D,75,205,April,22,1944,Canada
Paradise,Bob,N,1972,1979,D,73,205,April,22,1944,USA
Goldsworthy,Bill,N,1965,1978,F,73,190,August,24,1944,Canada
Irvine,Ted,N,1964,1977,F,74,195,December,8,1944,Canada
Lemieux,Bob,N,1968,1968,D,73,195,December,16,1944,Canada
Fitzpatrick,Alex,N,1965,1968,F,73,195,December,22,1944,England
Abel,Gerry,N,1967,1967,F,74,168,December,25,1944,USA
Smith,Gary,N,1966,1980,G,76,215,February,4,1944,Canada
Brown,Andy,N,1972,1974,G,73,185,February,15,1944,Canada
Orban,Bill,N,1968,1970,F,73,185,February,20,1944,Canada
Laughton,Mike,N,1968,1971,F,74,185,February,21,1944,Canada
Fahey,Trevor,N,1965,1965,F,73,175,January,4,1944,Canada
Simmons,Gary,N,1975,1978,G,74,200,July,19,1944,Canada
Desjardins,Gerry,N,1969,1978,G,71,190,July,22,1944,Canada
Peters,Jimmy,N,1965,1975,F,74,185,June,20,1944,Canada
Hodge,Ken,N,1965,1978,F,74,210,June,25,1944,Canada
Nedomansky,Vaclav,N,1978,1983,F,74,205,March,14,1944,Czech Republic
Block,Ken,N,1971,1971,D,70,191,March,18,1944,Canada
Campbell,Bryan,N,1968,1972,F,73,173,March,27,1944,Canada
Stanfield,Fred,N,1965,1978,F,70,185,May,4,1944,Canada
Charlebois,Bob,N,1968,1968,F,73,175,May,27,1944,Canada
McCann,Rick,N,1968,1975,F,69,178,May,27,1944,Canada
Sneddon,Bob,N,1971,1971,G,74,190,May,31,1944,Canada
Carruthers,Dwight,N,1966,1968,D,70,186,November,7,1944,Canada
Maki,Wayne,N,1968,1973,F,73,185,November,10,1944,Canada
Drolet,Rene,N,1972,1975,F,68,160,November,13,1944,Canada
Seiling,Rod,N,1963,1979,D,73,195,November,14,1944,Canada
Buchanan,Ron,N,1967,1970,F,75,170,November,15,1944,Canada
Hull,Dennis,N,1965,1978,F,71,198,November,19,1944,Canada
Ball,Terry,N,1968,1972,D,69,160,November,29,1944,Canada
Johnson,Dan,N,1970,1972,F,71,170,October,1,1944,Canada
Gilbertson,Stan,N,1972,1977,F,73,175,October,29,1944,USA
Ward,Ron,N,1970,1972,F,71,175,September,12,1944,Canada
Parent,Bernie,Y,1966,1979,G,70,180,April,3,1945,Canada
Favell,Doug,N,1968,1979,G,70,172,April,5,1945,Canada
Huston,Ron,N,1974,1975,F,69,170,April,8,1945,Canada
Hinse,Andre,N,1968,1968,F,69,175,April,19,1945,Canada
Carter,Lyle,N,1972,1972,G,73,185,April,29,1945,Canada
Paiement,Rosaire,N,1968,1972,F,71,170,August,12,1945,Canada
Murray,Randy,N,1970,1970,D,73,195,August,24,1945,Canada
Huck,Fran,N,1970,1973,F,67,165,December,4,1945,Canada
Hardy,Joe,N,1970,1971,F,73,185,December,5,1945,Canada
Libett,Nick,N,1968,1981,F,73,195,December,9,1945,Canada
Legge,Randy,N,1973,1973,D,71,184,December,16,1945,Canada
Pronovost,Jean,N,1969,1982,F,73,185,December,18,1945,Canada
Kuntz,Murray,N,1975,1975,F,70,180,December,19,1945,Canada
Kannegiesser,Gord,N,1968,1972,D,73,190,December,21,1945,Canada
Lagace,Jean-Guy,N,1969,1976,D,70,185,February,5,1945,Canada
Walton,Mike,N,1966,1979,F,70,175,January,3,1945,Canada
Lemieux,Real,N,1967,1974,F,71,180,January,3,1945,Canada
Ellis,Ron,N,1964,1981,F,69,195,January,8,1945,Canada
Volmar,Doug,N,1971,1973,F,73,215,January,9,1945,USA
Taylor,Bobby,N,1972,1976,G,73,180,January,24,1945,Canada
Stephenson,Wayne,N,1972,1981,G,69,175,January,29,1945,Canada
Plager,Bill,N,1968,1976,D,69,175,July,6,1945,Canada
Cameron,Craig,N,1967,1976,F,73,200,July,19,1945,Canada
Anderson,Ron,N,1968,1972,F,73,170,July,29,1945,Canada
Lacroix,Andre,N,1968,1980,F,68,175,June,5,1945,Canada
Marotte,Gilles,N,1966,1977,D,69,205,June,7,1945,Canada
Powis,Geoff,N,1968,1968,F,73,170,June,14,1945,Canada
O'Shea,Danny,N,1969,1973,F,73,190,June,15,1945,Canada
Alexander,Claire,N,1975,1978,D,73,175,June,16,1945,Canada
Pelletier,Roger,N,1968,1968,D,71,195,June,22,1945,Canada
Cashman,Wayne,N,1965,1983,F,73,208,June,24,1945,Canada
Shelton,Doug,N,1968,1968,F,70,175,June,27,1945,Canada
Hodgson,Ted,N,1967,1967,F,71,185,June,30,1945,Canada
Lundstrom,Tord,N,1974,1974,F,71,176,March,4,1945,Sweden
McDonald,Brian,N,1971,1971,F,71,190,March,23,1945,Canada
Selby,Brit,N,1965,1972,F,70,175,March,27,1945,Canada
Schmautz,Bobby,N,1968,1981,F,69,172,March,28,1945,Canada
Edestrand,Darryl,N,1968,1979,D,71,180,November,6,1945,Canada
Smith,Al,N,1966,1981,G,73,200,November,10,1945,Canada
Hornung,Larry,N,1971,1972,D,73,190,November,10,1945,Canada
Shires,Jim,N,1971,1973,F,73,180,November,15,1945,Canada
Jones,Bob,N,1969,1969,F,73,185,November,27,1945,Canada
Monteith,Hank,N,1969,1971,F,70,170,October,2,1945,Canada
Caley,Don,N,1968,1968,G,70,160,October,9,1945,Canada
Ferguson,Norm,N,1969,1972,F,69,165,October,16,1945,Canada
Lemaire,Jacques,Y,1968,1979,F,70,180,September,7,1945,Canada
Vachon,Rogie,N,1967,1982,G,67,170,September,8,1945,Canada
Terbenche,Paul,N,1968,1974,D,70,170,September,16,1945,Canada
Foley,Rick,N,1971,1974,D,76,223,September,22,1945,Canada
Vadnais,Carol,N,1967,1983,D,73,185,September,25,1945,Canada
Kearns,Dennis,N,1972,1981,D,69,185,September,27,1945,Canada
Arbour,John,N,1966,1972,D,71,195,September,28,1945,Canada
Carleton,Wayne,N,1966,1972,F,75,212,August,4,1946,Canada
Graham,Rod,N,1975,1975,F,73,185,August,19,1946,Canada
Hamilton,Al,N,1966,1980,D,73,195,August,20,1946,Canada
McKay,Ray,N,1969,1974,D,76,183,August,22,1946,Canada
McLeod,Don,N,1971,1972,G,73,190,August,24,1946,Canada
Burns,Robin,N,1971,1976,F,73,195,August,27,1946,Canada
Glennie,Brian,N,1970,1979,D,73,197,August,29,1946,Canada
McKenny,Jim,N,1966,1979,D,71,192,December,1,1946,Canada
Wiste,Jim,N,1969,1971,F,70,185,February,18,1946,Canada
Grant,Danny,N,1966,1979,F,70,188,February,21,1946,Canada
Doak,Gary,N,1966,1981,D,71,175,February,26,1946,Canada
Falkenberg,Bob,N,1967,1972,D,73,185,January,1,1946,Canada
Cook,Bob,N,1971,1975,F,73,190,January,6,1946,Canada
Corrigan,Mike,N,1968,1978,F,70,175,January,11,1946,Canada
Rivard,Fern,N,1969,1975,G,69,160,January,18,1946,Canada
Savard,Serge,Y,1967,1983,D,75,210,January,22,1946,Canada
Sarrazin,Dick,N,1969,1972,F,73,185,January,22,1946,Canada
Shmyr,Paul,N,1969,1982,D,71,170,January,28,1946,Canada
Hurley,Paul,N,1969,1969,D,71,185,July,12,1946,USA
Rochefort,Dave,N,1967,1967,F,73,180,July,22,1946,Canada
Meissner,Barrie,N,1968,1969,F,69,165,July,26,1946,Canada
Adams,John,N,1973,1975,G,73,200,July,27,1946,Canada
Kelly,Bob,N,1974,1979,F,74,195,June,6,1946,Canada
Crashley,Bart,N,1966,1976,D,73,180,June,15,1946,Canada
Sanderson,Derek,N,1966,1978,F,73,185,June,16,1946,Canada
Croteau,Gary,N,1969,1980,F,73,205,June,20,1946,Canada
Reid,Tom,N,1968,1978,D,73,200,June,24,1946,Canada
Marsh,Gary,N,1968,1969,F,70,172,March,9,1946,Canada
Niekamp,Jim,N,1971,1972,D,73,185,March,11,1946,USA
Chernoff,Mike,N,1969,1969,F,70,175,May,13,1946,Canada
Heindl,Bill,N,1971,1973,F,70,175,May,13,1946,Canada
Mair,Jim,N,1971,1975,D,69,170,May,15,1946,Canada
Zaine,Rod,N,1971,1972,F,70,180,May,18,1946,Canada
Patrick,Craig,Y,1972,1979,F,73,190,May,20,1946,USA
Mott,Morris,N,1973,1975,F,68,165,May,25,1946,Canada
Snell,Ted,N,1974,1975,F,69,190,May,28,1946,Canada
Lesuk,Bill,N,1969,1980,F,69,187,November,1,1946,Canada
Grenier,Lucien,N,1970,1972,F,70,163,November,3,1946,Canada
Karlander,Al,N,1970,1973,F,68,170,November,5,1946,Canada
Snow,Sandy,N,1969,1969,F,73,175,November,11,1946,Canada
Imlach,Brent,N,1966,1967,F,68,160,November,16,1946,Canada
Irons,Robbie,N,1969,1969,G,68,150,November,19,1946,Canada
Murdoch,Bob,N,1971,1982,D,73,200,November,20,1946,Canada
Koroll,Cliff,N,1970,1980,F,73,195,October,1,1946,Canada
Barrie,Doug,N,1969,1972,D,69,175,October,2,1946,Canada
Ring,Bob,N,1966,1966,G,70,170,October,6,1946,USA
Mahovlich,Pete,N,1966,1981,F,77,210,October,10,1946,Canada
Monahan,Garry,N,1968,1979,F,73,199,October,20,1946,Canada
LeBlanc,Jean-Paul,N,1969,1979,F,70,170,October,20,1946,Canada
Meehan,Gerry,N,1969,1979,F,74,200,September,3,1946,Canada
Junkin,Joe,N,1969,1969,G,71,180,September,8,1946,Canada
Byers,Mike,N,1968,1972,F,70,185,September,11,1946,Canada
Evans,Chris,N,1970,1975,D,69,180,September,14,1946,Canada
Wilson,Roger,N,1975,1975,D,71,175,September,18,1946,Canada
Gambucci,Gary,N,1972,1974,F,69,175,September,27,1946,USA
Farr,Norm,N,1973,1975,G,70,175,April,7,1947,Canada
Abrahamsson,Thommy,N,1981,1981,D,74,185,April,12,1947,Sweden
Brown,Larry,N,1970,1978,D,74,210,April,14,1947,Canada
Marcotte,Don,N,1966,1982,F,71,183,April,15,1947,Canada
Head,Galen,N,1968,1968,F,69,160,April,16,1947,Canada
Lavender,Brian,N,1972,1975,F,73,174,April,20,1947,Canada
Beverley,Nick,N,1967,1980,D,74,185,April,21,1947,Canada
Magnuson,Keith,N,1970,1980,D,73,185,April,27,1947,Canada
Erickson,Grant,N,1969,1970,F,69,165,April,28,1947,Canada
Bernier,Serge,N,1969,1981,F,73,190,April,29,1947,Canada
Apps,Syl,N,1971,1980,F,73,185,August,1,1947,Canada
Dryden,Ken,Y,1971,1979,G,76,205,August,8,1947,Canada
L'Abbe,Moe,N,1973,1973,F,69,170,August,12,1947,Canada
Rathwell,Jake,N,1975,1975,F,73,190,August,12,1947,Canada
Kannegiesser,Sheldon,N,1971,1978,D,73,198,August,15,1947,Canada
Dorey,Jim,N,1969,1972,D,73,190,August,17,1947,Canada
Murphy,Brian,N,1975,1975,F,75,200,August,20,1947,Canada
Lockett,Ken,N,1975,1976,G,73,160,August,30,1947,Canada
Unger,Garry,N,1968,1983,F,71,170,December,7,1947,Canada
Hatoum,Ed,N,1969,1971,F,70,180,December,7,1947,Lebanon
Bergman,Thommie,N,1973,1980,D,74,200,December,10,1947,Sweden
Redmond,Mickey,N,1968,1976,F,71,185,December,27,1947,Canada
Debenedet,Nelson,N,1974,1975,F,73,195,December,31,1947,Italy
Lonsberry,Ross,N,1967,1981,F,71,195,February,7,1947,Canada
Wilkins,Barry,N,1967,1976,D,73,190,February,28,1947,Canada
Stanfield,Jim,N,1970,1972,F,70,160,January,1,1947,Canada
Fairbairn,Bill,N,1969,1979,F,70,170,January,7,1947,Canada
Pleau,Larry,N,1970,1972,F,73,190,January,29,1947,USA
Widing,Juha,N,1970,1977,F,73,180,July,4,1947,Finland
Ouimet,Ted,N,1969,1969,G,69,165,July,6,1947,Canada
Harrison,Jim,N,1969,1980,F,71,185,July,9,1947,Canada
Speck,Fred,N,1969,1972,F,69,160,July,22,1947,Canada
Myers,Hap,N,1971,1971,D,71,195,July,28,1947,Canada
McKechnie,Walt,N,1968,1983,F,74,195,June,19,1947,Canada
Kurt,Gary,N,1972,1972,G,75,205,March,9,1947,Canada
Miller,Tom,N,1971,1975,F,73,187,March,31,1947,Canada
Lorentz,Jim,N,1969,1978,F,73,190,May,1,1947,Canada
McKegney,Ian,N,1977,1977,D,71,165,May,7,1947,Canada
Schella,John,N,1971,1972,D,73,180,May,9,1947,Canada
Nelson,Gordie,N,1970,1970,D,68,180,May,10,1947,Canada
O'Shea,Kevin,N,1971,1973,F,74,205,May,28,1947,Canada
Hicke,Ernie,N,1971,1978,F,71,185,November,7,1947,Canada
Houde,Claude,N,1975,1976,D,73,188,November,8,1947,Canada
Leclerc,Rene,N,1969,1971,F,71,165,November,12,1947,Canada
Edwards,Gary,N,1969,1982,G,69,165,October,5,1947,Canada
Thomas,Wayne,N,1973,1981,G,74,195,October,9,1947,Canada
Martin,Tom,N,1968,1968,F,69,170,October,16,1947,Canada
Worthy,Chris,N,1969,1971,G,73,180,October,23,1947,England
Lawson,Danny,N,1968,1972,F,71,180,October,30,1947,Canada
Watts,Brian,N,1976,1976,F,73,180,September,10,1947,Canada
Swain,Garry,N,1969,1969,F,68,164,September,11,1947,Canada
Rizzuto,Garth,N,1971,1971,F,70,175,September,11,1947,Canada
Ketter,Kerry,N,1973,1973,D,73,202,September,20,1947,Canada
Bordeleau,Christian,N,1969,1972,F,68,172,September,23,1947,Canada
Ecclestone,Tim,N,1968,1978,F,70,195,September,24,1947,Canada
Zanussi,Joe,N,1975,1977,D,70,180,September,25,1947,Canada
Pelyk,Mike,N,1968,1978,D,73,190,September,29,1947,Canada
Tkaczuk,Walt,N,1968,1981,F,73,185,September,29,1947,Germany
Curtis,Paul,N,1970,1973,D,73,185,September,29,1947,Canada
Parizeau,Michel,N,1972,1972,F,70,165,April,9,1948,Canada
McRae,Gord,N,1973,1978,G,73,180,April,12,1948,Canada
Wilcox,Barry,N,1973,1975,F,73,190,April,23,1948,Canada
Marchinko,Brian,N,1971,1974,F,73,180,August,2,1948,Canada
Snell,Ron,N,1969,1970,F,70,158,August,11,1948,Canada
Busniuk,Ron,N,1973,1974,F,71,180,August,13,1948,Canada
Dunn,Dave,N,1974,1976,D,74,202,August,19,1948,Canada
Grisdale,John,N,1973,1979,D,73,195,August,23,1948,Canada
Stewart,Ralph,N,1971,1978,F,73,190,December,2,1948,Canada
Brown,Ken,N,1971,1971,G,71,175,December,19,1948,Canada
Morrison,George,N,1971,1972,F,73,170,December,24,1948,Canada
Schock,Danny,N,1971,1971,F,71,180,December,30,1948,Canada
Robert,Rene,N,1971,1982,F,70,184,December,31,1948,Canada
Morrison,Lew,N,1970,1978,F,73,185,February,11,1948,Canada
Robitaille,Mike,N,1970,1977,D,71,195,February,12,1948,Canada
McDuffe,Peter,N,1972,1976,G,69,180,February,16,1948,Canada
Newell,Rick,N,1973,1974,D,71,180,February,18,1948,Canada
Bouchard,Pierre,N,1971,1982,D,74,205,February,20,1948,Canada
Lacombe,Francois,N,1969,1980,D,70,185,February,24,1948,Canada
Fontaine,Len,N,1973,1974,F,67,165,February,25,1948,Canada
Hart,Gerry,N,1969,1983,D,69,190,January,1,1948,Canada
Salovaara,Barry,N,1975,1976,D,70,180,January,7,1948,Canada
Stefaniw,Morris,N,1973,1973,F,71,170,January,10,1948,Canada
Kea,Ed,N,1974,1983,D,75,200,January,19,1948,Holland
Hammarstrom,Inge,N,1974,1979,F,73,180,January,20,1948,Sweden
Murray,Ken,N,1970,1976,D,73,180,January,22,1948,Canada
Gray,Gerry,N,1971,1973,G,73,165,January,28,1948,Canada
Boughner,Barry,N,1970,1971,F,70,180,January,29,1948,Canada
Park,Brad,Y,1969,1985,D,73,200,July,6,1948,Canada
Resch,Glenn,N,1974,1987,G,69,165,July,10,1948,Canada
Murray,Bob,N,1974,1977,D,73,195,July,16,1948,Canada
Grant,Doug,N,1974,1980,G,73,200,July,27,1948,Canada
Plasse,Michel,N,1971,1982,G,71,172,June,1,1948,Canada
Seguin,Dan,N,1971,1974,F,68,165,June,7,1948,Canada
Harris,Hugh,N,1973,1973,F,73,195,June,7,1948,Canada
Bailey,Garnet,N,1969,1978,F,71,192,June,13,1948,Canada
Dupere,Denis,N,1971,1978,F,73,200,June,21,1948,Canada
Smith,Rick,N,1969,1981,D,71,190,June,29,1948,Canada
Krulicki,Jim,N,1971,1971,F,71,180,March,9,1948,Canada
Lapointe,Guy,Y,1969,1984,D,73,205,March,18,1948,Canada
Selwood,Brad,N,1971,1980,D,73,200,March,18,1948,Canada
Moffat,Lyle,N,1973,1980,F,70,180,March,19,1948,Canada
Orr,Bobby,Y,1967,1979,D,73,197,March,20,1948,Canada
Wilson,Dunc,N,1970,1979,G,71,175,March,22,1948,Canada
Marks,John,N,1973,1982,F,74,200,March,22,1948,Canada
Bennett,Curt,N,1971,1980,F,75,195,March,27,1948,Canada
Ketola,Veli-Pekka,N,1982,1982,F,74,220,March,28,1948,Finland
Mikkelson,Bill,N,1972,1977,D,73,185,May,21,1948,Canada
Myre,Phil,N,1970,1983,G,73,185,November,1,1948,Canada
Ley,Rick,N,1969,1981,D,69,190,November,2,1948,Canada
Wright,John,N,1973,1975,F,71,175,November,9,1948,Canada
Johnson,Bob,N,1973,1975,G,73,185,November,12,1948,USA
Forbes,Dave,N,1974,1979,F,70,180,November,16,1948,Canada
Luce,Don,N,1970,1982,F,74,185,October,2,1948,Canada
Webster,Tom,N,1969,1980,F,70,170,October,4,1948,Canada
Atkinson,Steve,N,1969,1975,F,71,170,October,16,1948,Canada
Lefley,Bryan,N,1973,1978,D,73,195,October,18,1948,Canada
McLachlan,Murray,N,1971,1971,G,73,195,October,20,1948,Canada
Comeau,Rey,N,1972,1980,F,68,190,October,25,1948,Canada
Drouin,Jude,N,1969,1981,F,70,160,October,28,1948,Canada
Sheehy,Tim,N,1978,1980,F,73,185,September,3,1948,USA
Lundrigan,Joe,N,1973,1975,D,71,180,September,12,1948,Canada
Reece,Dave,N,1976,1976,G,73,190,September,13,1948,USA
Pinder,Gerry,N,1970,1972,F,68,165,September,15,1948,Canada
Liddington,Bob,N,1971,1971,F,73,175,September,15,1948,Canada
Korab,Jerry,N,1971,1985,D,75,220,September,15,1948,Canada
Gibbs,Barry,N,1968,1980,D,71,195,September,28,1948,Canada
Caffery,Terry,N,1970,1971,F,69,165,April,1,1949,Canada
Maggs,Daryl,N,1972,1980,D,74,195,April,6,1949,Canada
Gould,John,N,1972,1980,F,71,197,April,11,1949,Canada
Girard,Bob,N,1976,1980,F,73,180,April,12,1949,Canada
Sheppard,Gregg,N,1973,1982,F,68,170,April,23,1949,Canada
