College,GradRate,SFRatio,AdmisRate,FacultyPhD,Type,Region,State,MathSAT,VerbalSAT,ACT
Regis College,84,10.3,90,81,Private,NorthEast,MA,452,429,
Pine Manor College,67,8.9,91,46,Private,NorthEast,MA,391,373,20
United States Naval Academy,94,6.8,13,54,Public,South,MD,633,538,
Johns Hopkins University,90,3.3,41,96,Private,South,MD,686,606,30
Villa Julie College,72,10.2,42,39,Private,South,MD,484,436,
Morgan State University,29,18.2,52,80,Public,South,MD,444,427,
St. Mary's College of Maryland,63,11.6,52,84,Public,South,MD,615,579,
Bowie State University,17,22,54,57,Public,South,MD,384,357,
Salisbury State University,56,17.9,54,73,Public,South,MD,554,491,22
University of Maryland at Baltimore County,55,18.4,61,82,Public,South,MD,578,505,23
Towson State University,60,17.6,62,76,Public,South,MD,516,467,
University of Maryland Eastern Shore,35,17.8,64,56,Public,South,MD,380,359,
Goucher College,77,9.2,71,78,Private,South,MD,572,539,
University of Maryland at College Park,63,18.1,72,89,Public,South,MD,584,501,
Columbia Union College,63,13.9,74,47,Private,South,MD,,,
Frostburg State University,54,17.8,74,78,Public,South,MD,476,426,
Loyola College,80,14.7,77,86,Private,South,MD,563,507,
College of Notre Dame of Maryland,75,11.5,78,64,Private,South,MD,500,470,
Washington College,65,11.2,78,79,Private,South,MD,551,516,
Hood College,72,14.4,81,82,Private,South,MD,509,485,24
Western Maryland College,60,12.5,82,84,Private,South,MD,527,484,
St. John's College,64,7.2,86,63,Private,South,MD,,,
Mount Saint Mary's College,80,12.8,88,77,Private,South,MD,510,460,
Capitol College,52,12.1,90,10,Private,South,MD,460,420,
Bowdoin College,96,11.2,30,93,Private,NorthEast,ME,640,580,
Bates College,93,9.8,45,79,Private,NorthEast,ME,640,590,
Colby College,91,10.2,46,83,Private,NorthEast,ME,610,560,26
University of New England,64,11.4,62,72,Private,NorthEast,ME,470,430,
University of Maine at Farmington,59,15.9,67,67,Public,NorthEast,ME,,,
University of Maine at Fort Kent,38,15,75,65,Public,NorthEast,ME,415,383,
Saint Joseph's College,85,27.2,82,53,Private,NorthEast,ME,460,420,
University of Maine at Presque Isle,35,15.2,83,67,Public,NorthEast,ME,433,388,
University of Maine at Machias,64,15.1,84,46,Public,NorthEast,ME,,,
University of Maine at Orono,56,14.5,87,93,Public,NorthEast,ME,525,464,
Thomas College,75,21.8,88,29,Private,NorthEast,ME,460,370,
Unity College,44,11.4,90,45,Private,NorthEast,ME,490,475,
Husson College,84,22,90,36,Private,NorthEast,ME,435,383,
Andrews University,46,11.5,62,62,Private,Midwest,MI,,,20
Center for Creative Studies,47,6.8,66,8,Private,Midwest,MI,470,450,21
Ferris State University,57,18.2,68,38,Public,Midwest,MI,,,
University of Michigan at Ann Arbor,87,11.5,68,90,Public,Midwest,MI,634,543,27
University of Michigan at Dearborn,63,18,73,80,Public,Midwest,MI,,,24
Wayne State University,41,10.9,73,85,Public,Midwest,MI,,,21
William Tyndale College,16,12.9,75,85,Private,Midwest,MI,,,
Grand Valley State University,57,20.6,75,64,Public,Midwest,MI,,,23
Adrian College,54,12.9,77,53,Private,Midwest,MI,,,22
Western Michigan University,55,24.7,78,80,Public,Midwest,MI,,,23
University of Detroit Mercy,51,13.5,79,72,Private,Midwest,MI,498,439,21
Lawrence Technological University,45,15.8,80,40,Private,Midwest,MI,,,22
Eastern Michigan University,49,20.6,81,74,Public,Midwest,MI,465,431,21
Hillsdale College,79,12,81,80,Private,Midwest,MI,550,520,24
Lake Superior State University,51,19.9,83,47,Public,Midwest,MI,,,20
Michigan State University,71,14,83,93,Public,Midwest,MI,524,461,23
Aquinas College,65,12.7,83,55,Private,Midwest,MI,,,
Calvin College,81,14.8,85,75,Private,Midwest,MI,567,505,25
Oakland University,53,19.7,85,88,Public,Midwest,MI,,,23
Northern Michigan University,51,22,85,59,Public,Midwest,MI,,,
Alma College,68,15.3,85,79,Private,Midwest,MI,,,26
Central Michigan University,70,20.4,86,66,Public,Midwest,MI,,,
Hope College,72,12.5,87,72,Private,Midwest,MI,,,
Saginaw Valley State University,40,18.2,87,77,Public,Midwest,MI,,,20
Michigan Technological University,65,17,87,82,Public,Midwest,MI,620,512,26
Madonna University,57,14.7,89,54,Private,Midwest,MI,,,
Kalamazoo College,74,12.4,90,75,Private,Midwest,MI,626,575,27
Siena Heights College,47,7.2,90,29,Private,Midwest,MI,,,21
University of Michigan at Flint,64,17.7,90,70,Public,Midwest,MI,,,
Albion College,73,13.7,91,89,Private,Midwest,MI,,,
Olivet College,51,16,91,53,Private,Midwest,MI,,,
Northwood University,35,91.8,91,33,Private,Midwest,MI,370,450,20
Concordia College,84,11.6,95,55,Private,Midwest,MI,500,485,20
Spring Arbor College,49,15.4,97,48,Private,Midwest,MI,,,21
Macalester College,77,11.9,51,85,Private,Midwest,MN,,,
University of Minnesota Twin Cities,45,12.2,58,88,Public,Midwest,MN,568,484,23
Carleton College,91,10.4,59,81,Private,Midwest,MN,,,
University of Minnesota at Morris,51,14.6,60,74,Public,Midwest,MN,650,550,26
Winona State University,58,20.2,62,53,Public,Midwest,MN,490,460,22
Bemidji State University,46,19.6,73,57,Public,Midwest,MN,,,
Saint Olaf College,83,10,74,82,Private,Midwest,MN,580,520,26
University of Minnesota at Duluth,53,19,75,79,Public,Midwest,MN,,,22
Augsburg College,58,12.8,78,65,Private,Midwest,MN,580,460,22
College of Saint Catherine,77,11.5,80,63,Private,Midwest,MN,469,482,22
Gustavus Adolphus College,80,12.5,81,79,Private,Midwest,MN,585,520,25
Bethel College,68,12.1,82,60,Private,Midwest,MN,,,
Hamline University,65,13,82,89,Private,Midwest,MN,575,535,25
Saint Cloud State University,58,18.9,83,70,Public,Midwest,MN,,,
Saint John's University,70,12,86,76,Private,Midwest,MN,555,465,24
Mankato State University,68,19,87,57,Public,Midwest,MN,,,
University of St. Thomas,89,13.8,88,80,Private,Midwest,MN,530,464,23
Moorhead State University,60,18.1,89,76,Public,Midwest,MN,,,22
College of St. Scholastica,72,11.6,89,54,Private,Midwest,MN,487,443,23
Southwest State University,51,16.5,90,58,Public,Midwest,MN,,,20
Saint Mary's College of Minnesota,78,18.8,92,68,Private,Midwest,MN,,,21
College of Saint Benedict,72,13.1,92,70,Private,Midwest,MN,526,484,23
Concordia College at St. Paul,45,12.8,95,69,Private,Midwest,MN,,,
College of the Ozarks,87,14.3,10,53,Private,Midwest,MO,,,21
Columbia College,37,15.3,50,87,Private,Midwest,MO,,,20
Lindenwood College,100,24.1,60,65,Private,Midwest,MO,435,435,22
Washington University,90,3.9,69,91,Private,Midwest,MO,,,
Webster University,48,20.6,70,68,Private,Midwest,MO,494,511,23
Culver-Stockton College,51,14.1,70,51,Private,Midwest,MO,,,22
University of Missouri at Saint Louis,48,13.4,71,71,Public,Midwest,MO,,,
University of Missouri at Columbia,58,12.7,71,87,Public,Midwest,MO,564,502,25
University of Missouri at Kansas City,44,11.6,71,98,Public,Midwest,MO,,,24
Maryville University,61,13.1,72,52,Private,Midwest,MO,506,457,24
Missouri Valley College,27,17.4,75,35,Private,Midwest,MO,400,400,18
Northeast Missouri State University,76,15.7,76,69,Public,Midwest,MO,,,26
Central Methodist College,49,15.1,80,50,Private,Midwest,MO,,,
Avila College,54,10.6,80,57,Private,Midwest,MO,450,450,22
Southeast Missouri State University,45,17.1,82,75,Public,Midwest,MO,,,
William Jewell College,59,11.2,83,74,Private,Midwest,MO,550,510,24
Park College,49,18.4,83,39,Private,Midwest,MO,,,
Westminster College,62,12.5,84,66,Private,Midwest,MO,520,480,24
Missouri Southern State College,100,20.3,84,52,Public,Midwest,MO,,,
Fontbonne College,62,21.5,84,45,Private,Midwest,MO,,,
Southwest Missouri State University,56,19.9,86,70,Public,Midwest,MO,,,22
Saint Louis University,67,4.6,87,84,Private,Midwest,MO,,,
Central Missouri State University,50,19.7,88,69,Public,Midwest,MO,,,21
Stephens College,59,10.9,90,46,Private,Midwest,MO,474,426,21
Rockhurst College,79,10.7,92,60,Private,Midwest,MO,,,
William Woods University,52,12.9,93,39,Private,Midwest,MO,482,459,21
Northwest Missouri State University,54,21.7,93,62,Public,Midwest,MO,,,
Drury College,67,13.2,93,82,Private,Midwest,MO,,,25
University of Missouri at Rolla,49,14.4,97,88,Public,Midwest,MO,655,547,27
Missouri Western State College,40,19,99,54,Public,Midwest,MO,,,19
Southwest Baptist University,71,15.9,100,52,Private,Midwest,MO,,,23
Tougaloo College,53,14.5,18,53,Private,South,MS,,,
Mississippi Valley State University,56,18.6,39,43,Public,South,MS,,,16
Rust College,49,19.6,51,44,Private,South,MS,,,16
Alcorn State University,35,14.1,63,45,Public,South,MS,,,18
Mississippi College,61,16.5,65,77,Private,South,MS,,,23
Jackson State University,41,15.4,68,60,Public,South,MS,,,
University of Southern Mississippi,45,18.7,72,78,Public,South,MS,531,449,22
Mississippi State University,53,15.9,77,77,Public,South,MS,,,23
William Carey College,19,13.6,83,36,Private,South,MS,,,20
Mississippi University for Women,63,15.8,84,49,Public,South,MS,,,23
University of Mississippi,53,20.3,88,81,Public,South,MS,,,
Millsaps College,58,12.7,92,82,Private,South,MS,570,550,26
Delta State University,58,17.1,98,49,Public,South,MS,,,
Blue Mountain College,66,11.3,100,33,Private,South,MS,,,19
Western Montana College,59,16.4,68,50,Public,West,MT,,,19
Rocky Mountain College,68,11.3,70,56,Private,West,MT,444,426,21
Montana State University,37,17.6,81,75,Public,West,MT,520,440,23
University of Montana,30,21.7,85,75,Public,West,MT,489,457,22
Carroll College,58,14.1,93,49,Private,West,MT,450,500,23
Montana College of Mineral Sci. & Tech.,74,16.4,95,71,Public,West,MT,575,481,22
Montana State University-Billings,40,18.5,98,70,Public,West,MT,,,
Duke University,97,5,28,95,Private,South,NC,687,615,30
Shaw University,69,14.4,37,71,Private,South,NC,,,
Davidson College,94,12,40,95,Private,South,NC,650,580,29
University of North Carolina at Chapel Hill,83,8.9,41,88,Public,South,NC,594,527,
Wake Forest University,89,4.3,42,95,Private,South,NC,,,
Livingstone College,92,10.4,53,53,Private,South,NC,,,
Elizabeth City State University,51,14.1,54,68,Public,South,NC,,,
University of North Carolina at Asheville,37,13,56,77,Public,South,NC,550,504,24
St. Augustine's College,56,14,57,43,Private,South,NC,406,407,
University of North Carolina at Wilmington,55,19.1,64,82,Public,South,NC,494,441,21
Appalachian State University,70,18.3,64,83,Public,South,NC,519,471,22
North Carolina A. & T. State University,44,16.7,64,72,Public,South,NC,441,384,
Campbell University,63,21.8,64,77,Private,South,NC,476,439,
North Carolina State University at Raleigh,62,17.5,66,92,Public,South,NC,578,493,
East Carolina University,58,13.2,69,74,Public,South,NC,486,435,18
Johnson C. Smith University,37,14.2,69,61,Private,South,NC,,,
Bennett College,44,12.1,70,63,Private,South,NC,395,385,17
Warren Wilson College,63,11.4,71,65,Private,South,NC,,,
Fayetteville State University,24,15.1,73,75,Public,South,NC,426,390,
North Carolina Central University,40,15.4,75,66,Public,South,NC,,,
Winston-Salem State University,46,13.5,75,67,Private,South,NC,405,369,
Lenoir-Rhyne College,66,12,76,88,Private,South,NC,482,439,21
Queens College,58,14,76,73,Private,South,NC,514,491,26
University of North Carolina at Charlotte,62,16.8,77,79,Public,South,NC,491,435,21
Elon College,63,18.9,77,70,Private,South,NC,483,439,
Pfeiffer College,48,12.2,78,62,Private,South,NC,441,390,
Western Carolina University,55,14.6,78,67,Public,South,NC,457,410,
Belmont Abbey College,52,13.2,78,78,Private,South,NC,463,427,
University of North Carolina at Greensboro,53,15.5,80,75,Public,South,NC,499,457,
Greensboro College,39,13,81,64,Private,South,NC,485,438,
Catawba College,55,13.5,81,75,Private,South,NC,481,434,
High Point University,62,17.8,81,55,Private,South,NC,456,423,
Pembroke State University,48,15,82,77,Public,South,NC,433,385,
Wingate College,91,13.9,82,69,Private,South,NC,442,400,22
Mars Hill College,69,11.9,83,60,Private,South,NC,442,406,20
Barton College,67,13.7,83,55,Private,South,NC,444,396,
Gardner Webb University,29,15.2,84,65,Private,South,NC,445,400,19
Methodist College,56,11.4,84,73,Private,South,NC,,,
Montreat-Anderson College,15,11.1,85,42,Private,South,NC,443,427,20
Salem College,60,11.2,85,68,Private,South,NC,508,494,24
North Carolina Wesleyan College,52,12.7,85,77,Private,South,NC,432,394,20
Guilford College,65,15.6,88,78,Private,South,NC,530,500,24
Meredith College,82,13.9,90,77,Private,South,NC,,,
St. Andrews Presbyterian College,56,13.8,96,79,Private,South,NC,465,450,
Barber Scotia College,34,13.5,100,50,Private,South,NC,320,280,
North Dakota State University,42,17,77,79,Public,Midwest,ND,,,23
University of North Dakota,49,15.9,81,97,Public,Midwest,ND,535,465,23
Jamestown College,54,17,87,51,Private,Midwest,ND,,,22
University of Mary,48,18,91,26,Private,Midwest,ND,,,21
Valley City State University,40,14.9,94,39,Public,Midwest,ND,,,
Dickinson State University,46,16.5,95,50,Public,Midwest,ND,,,21
Mayville State University,51,15.7,100,68,Public,Midwest,ND,,,20
Peru State College,44,20.1,72,48,Public,Midwest,NE,,,20
College of Saint Mary,47,8.9,75,23,Private,Midwest,NE,,,
Union College,48,8.5,86,48,Private,Midwest,NE,,,
Hastings College,52,13,87,57,Private,Midwest,NE,,,23
Doane College,60,15.1,89,67,Private,Midwest,NE,,,23
Midland Lutheran College,56,14.5,93,42,Private,Midwest,NE,,,
University of Nebraska at Omaha,19,19.7,94,77,Public,Midwest,NE,,,
University of Nebraska at Kearney,55,19,95,59,Public,Midwest,NE,,,21
Dana College,54,12.6,96,46,Private,Midwest,NE,,,22
Creighton University,85,6.5,96,85,Private,Midwest,NE,,,25
University of Nebraska at Lincoln,53,15.1,96,86,Public,Midwest,NE,513,447,22
Concordia College,80,11.1,99,54,Private,Midwest,NE,,,
Wayne State College,52,20.3,100,60,Public,Midwest,NE,,,20
Chadron State College,80,25,100,62,Public,Midwest,NE,,,21
Dartmouth College,98,4.7,27,95,Private,NorthEast,NH,692,627,
Saint Anselm College,97,14.5,74,70,Private,NorthEast,NH,512,481,
Keene State College,61,16.1,78,73,Public,NorthEast,NH,463,424,
University of New Hampshire,75,17.5,78,89,Public,NorthEast,NH,536,476,
Rivier College,81,12.2,80,59,Private,NorthEast,NH,,,
New Hampshire College,76,38.4,85,34,Private,NorthEast,NH,433,383,
Notre Dame College,33,12.1,86,44,Private,NorthEast,NH,439,430,
Franklin Pierce College,51,17.6,86,50,Private,NorthEast,NH,424,403,
Daniel Webster College,72,22.2,87,61,Private,NorthEast,NH,490,438,
New England College,59,9.5,92,42,Private,NorthEast,NH,,,
Thomas More Coll. of Liberal Arts,60,11.8,100,80,Private,NorthEast,NH,526,540,25
Princeton University,99,8.4,15,91,Private,NorthEast,NJ,708,647,
Rowan College of New Jersey,51,22.1,38,76,Public,NorthEast,NJ,520,468,
Stockton College of New Jersey,64,19.5,39,78,Public,NorthEast,NJ,552,489,
Montclair State University,58,21.5,41,82,Public,NorthEast,NJ,487,431,
Ramapo College of New Jersey,47,17.8,46,74,Public,NorthEast,NJ,510,460,
Trenton State College,81,14.4,46,81,Public,NorthEast,NJ,592,519,
Rutgers State University at Newark,58,17.4,47,90,Public,NorthEast,NJ,529,459,
Jersey City State College,26,14.9,48,63,Public,NorthEast,NJ,440,400,
William Paterson College of New Jersey,38,23.5,49,77,Public,NorthEast,NJ,485,428,
Fairleigh Dickinson University,60,16.7,51,77,Private,NorthEast,NJ,495,430,
Rutgers State University at Camden,57,18.6,52,90,Public,NorthEast,NJ,545,489,
Rutgers at New Brunswick,77,19.5,55,90,Public,NorthEast,NJ,594,513,
Caldwell College,55,13.9,60,87,Private,NorthEast,NJ,478,441,
New Jersey Institute of Technology,72,13.5,65,92,Public,NorthEast,NJ,600,466,
Rider University,70,12.3,68,84,Private,NorthEast,NJ,501,439,
Kean College of New Jersey,40,17.2,69,76,Public,NorthEast,NJ,463,417,
Monmouth College,54,14.2,70,70,Private,NorthEast,NJ,494,440,
Stevens Institute of Technology,79,19,71,89,Private,NorthEast,NJ,652,521,
Drew University,83,10.2,73,93,Private,NorthEast,NJ,603,564,
Seton Hall University,64,14.4,78,81,Private,NorthEast,NJ,496,443,
Georgian Court College,76,12.2,81,56,Private,NorthEast,NJ,474,441,
College of Saint Elizabeth,78,11.4,81,68,Private,NorthEast,NJ,486,464,
Bloomfield College,38,14.4,83,53,Private,NorthEast,NJ,,,
Centenary College,24,9.5,85,41,Private,NorthEast,NJ,500,470,19
Saint Peter's College,53,12.1,88,78,Private,NorthEast,NJ,428,379,
Upsala College,43,14,89,72,Private,NorthEast,NJ,410,400,
New Mexico Institute of Mining and Tech.,34,13.7,76,99,Public,West,NM,,,26
New Mexico State University,40,19.6,78,76,Public,West,NM,,,22
College of the Southwest,20,14.3,79,24,Private,West,NM,460,390,19
College of Santa Fe,80,14,82,40,Private,West,NM,480,484,21
New Mexico Highlands University,28,17.4,84,72,Public,West,NM,,,17
Saint John's College,61,9.8,86,73,Private,West,NM,,,
Univ. of New Mexico-Main Campus,34,14.3,87,91,Public,West,NM,,,22
Eastern New Mexico University,34,19.6,97,73,Public,West,NM,,,
Western New Mexico University,47,15.5,100,55,Public,West,NM,,,17
Sierra Nevada College,29,7.5,80,45,Private,West,NV,400,400,21
University of Nevada at Reno,54,15.4,84,78,Public,West,NV,488,432,22
United States Military Academy,95,8.8,12,37,Public,NorthEast,NY,653,558,28
Cooper Union,95,8.1,13,67,Private,NorthEast,NY,740,600,
Columbia University,99,5.9,29,97,Private,NorthEast,NY,680,620,
St. John's University,65,29.3,37,72,Private,NorthEast,NY,506,426,
Cornell University,93,6.9,37,91,Private,NorthEast,NY,,,
United States Merchant Marine Academy,71,12.8,38,68,Public,NorthEast,NY,,,
Long Island University at Brooklyn,61,21.6,40,75,Private,NorthEast,NY,420,410,
SUNY at Binghamton,80,18,43,83,Public,NorthEast,NY,615,533,26
SUNY College at New Paltz,53,15.3,43,85,Public,NorthEast,NY,537,479,24
Bard College,79,10.4,44,98,Private,NorthEast,NY,,,
SUNY College at Cortland,53,17.8,45,82,Public,NorthEast,NY,524,460,23
Pace University,62,13.8,45,90,Private,NorthEast,NY,517,441,
SUNY College  at Brockport,49,19,49,79,Public,NorthEast,NY,506,446,22
Union College,88,11.5,49,94,Private,NorthEast,NY,,,28
Colgate University,93,10.5,51,95,Private,NorthEast,NY,623,563,27
CUNY-Hunter College,39,14.1,52,62,Public,NorthEast,NY,446,399,
Vassar College,90,9.7,53,90,Private,NorthEast,NY,625,603,27
SUNY College at Geneseo,76,19.1,53,79,Public,NorthEast,NY,608,541,26
New York University,71,7.8,53,87,Private,NorthEast,NY,604,542,
CUNY- Baruch College,47,18.2,53,83,Public,NorthEast,NY,,,
Sarah Lawrence College,83,6.1,56,89,Private,NorthEast,NY,560,590,
SUNY at Stony Brook,57,10.5,56,91,Public,NorthEast,NY,542,464,
Barnard College,91,10.3,56,83,Private,NorthEast,NY,620,600,
Hamilton College,91,9.6,57,91,Private,NorthEast,NY,591,531,
SUNY College  at Oswego,63,22,57,69,Public,NorthEast,NY,550,480,24
SUNY College at Fredonia,66,16.3,57,82,Public,NorthEast,NY,525,472,23
SUNY College at Oneonta,60,17.1,58,70,Public,NorthEast,NY,509,463,22
Mount Saint Mary College,88,15.3,59,74,Private,NorthEast,NY,450,450,19
SUNY College at Purchase,46,14.9,60,80,Public,NorthEast,NY,486,466,
Nyack College,55,11.6,62,35,Private,NorthEast,NY,472,433,21
New School for Social Research,59,10.2,62,69,Private,NorthEast,NY,537,552,
University of Rochester,80,5.9,63,93,Private,NorthEast,NY,,,
Skidmore College,81,12.7,64,87,Private,NorthEast,NY,570,520,25
SUNY at Buffalo,56,13.6,64,90,Public,NorthEast,NY,572,480,
SUNY College at Plattsburgh,65,17.9,65,80,Public,NorthEast,NY,520,460,22
Siena College,100,14.1,65,71,Private,NorthEast,NY,560,491,24
Concordia College,53,9.5,65,50,Private,NorthEast,NY,467,435,
SUNY College at Buffalo,42,18.7,66,71,Public,NorthEast,NY,455,409,
St. Lawrence University,85,11.5,66,90,Private,NorthEast,NY,573,510,
Marist College,69,17.6,67,74,Private,NorthEast,NY,515,475,25
College of Saint Rose,64,14.3,68,66,Private,NorthEast,NY,,,
SUNY at Albany,74,17.4,68,93,Public,NorthEast,NY,580,506,
Marymount College Tarrytown,77,10.3,68,71,Private,NorthEast,NY,456,460,
Fordham University,80,14.4,68,86,Private,NorthEast,NY,535,506,
College of Mount St. Vincent,83,11.9,69,75,Private,NorthEast,NY,474,454,23
Syracuse University,67,11.3,69,73,Private,NorthEast,NY,,,
St. Thomas Aquinas College,67,16.1,71,69,Private,NorthEast,NY,425,400,
Manhattan College,79,13.6,71,92,Private,NorthEast,NY,539,467,
D'Youville College,46,14.6,72,68,Private,NorthEast,NY,497,435,22
Wagner College,75,13.2,72,67,Private,NorthEast,NY,510,480,
Elmira College,64,21.5,72,77,Private,NorthEast,NY,496,463,23
Iona College,66,16,72,66,Private,NorthEast,NY,457,410,19
St. Joseph's College,74,13.6,72,52,Private,NorthEast,NY,483,442,19
CUNY - City College,34,12.8,73,78,Public,NorthEast,NY,488,405,
SUNY College at Potsdam,59,15.1,73,71,Public,NorthEast,NY,540,500,23
CUNY-Lehman College,30,15.3,73,80,Public,NorthEast,NY,407,371,
Polytechnic University,62,10.4,75,90,Private,NorthEast,NY,630,480,
Wells College,69,8.3,76,93,Private,NorthEast,NY,590,490,24
Ithaca College,75,11.5,76,58,Private,NorthEast,NY,,,
Utica College of Syracuse University,65,12.3,77,64,Private,NorthEast,NY,496,437,28
Canisius College,64,14.6,77,90,Private,NorthEast,NY,,,
Marymount Manhattan College,68,11.7,77,63,Private,NorthEast,NY,500,460,24
Hobart and William Smith Colleges,79,12.1,77,99,Private,NorthEast,NY,,,
CUNY - Queens College,46,12.5,78,100,Public,NorthEast,NY,486,421,
St. John Fisher College,66,14.5,78,86,Private,NorthEast,NY,525,465,22
Manhattanville College,70,11.3,78,97,Private,NorthEast,NY,524,500,
New York Institute of Technology,53,18.6,78,74,Private,NorthEast,NY,,,
Hofstra University,60,13.9,79,81,Private,NorthEast,NY,540,470,24
Niagara University,65,14.2,81,68,Private,NorthEast,NY,,,
Le Moyne College,94,13.3,82,89,Private,NorthEast,NY,,,
Dowling College,42,12.4,82,77,Private,NorthEast,NY,440,400,18
Alfred University,73,11.3,82,82,Private,NorthEast,NY,,,
Keuka College,51,13.3,83,55,Private,NorthEast,NY,495,451,22
Hartwick College,73,12.3,83,75,Private,NorthEast,NY,524,478,23
Houghton College,67,15,83,85,Private,NorthEast,NY,535,508,24
Molloy College,80,9.7,83,38,Private,NorthEast,NY,468,435,
CUNY-Brooklyn College,43,15.6,83,83,Public,NorthEast,NY,490,426,
Rensselaer Polytechnic Institute,70,15.4,83,94,Private,NorthEast,NY,,,28
Nazareth College of Rochester,61,13.6,84,77,Private,NorthEast,NY,540,494,24
Yeshiva University,63,5.2,86,86,Private,NorthEast,NY,621,553,
Adelphi University,56,12.2,88,29,Private,NorthEast,NY,500,457,
St. Bonaventure University,78,17.7,88,91,Private,NorthEast,NY,535,478,25
Clarkson University,77,15.8,90,95,Private,NorthEast,NY,612,518,
St. Francis College,45,19.3,90,63,Private,NorthEast,NY,,,
Dominican College of Blauvelt,54,12.7,91,43,Private,NorthEast,NY,,,
Roberts Wesleyan College,46,13.4,92,45,Private,NorthEast,NY,473,442,21
SUNY College at Old Westbury,22,25.3,98,67,Public,NorthEast,NY,,,
CUNY- Medgar Evers College,36,16.5,100,64,Public,NorthEast,NY,340,320,
CUNY-College of Staten Island,48,17.6,100,71,Public,NorthEast,NY,447,398,
CUNY-York College,26,18.9,100,75,Public,NorthEast,NY,395,356,
Kent State University,46,20.8,33,81,Public,Midwest,OH,462,424,21
Oberlin College,83,10.1,58,77,Private,Midwest,OH,623,596,29
Marietta College,96,13.2,60,80,Private,Midwest,OH,,,
Kenyon College,88,11.1,70,95,Private,Midwest,OH,593,570,27
Bluffton College,58,13.3,74,76,Private,Midwest,OH,512,438,23
Ohio University,64,20.4,75,79,Public,Midwest,OH,520,473,24
Ohio Wesleyan University,75,12.1,78,93,Private,Midwest,OH,575,528,25
College of Mount St. Joseph,100,11.1,78,46,Private,Midwest,OH,480,440,21
Capital University,83,12.1,79,64,Private,Midwest,OH,,,23
Hiram College,79,10.6,79,75,Private,Midwest,OH,540,510,24
Bowling Green State University,67,21.1,79,81,Public,Midwest,OH,497,449,22
Ohio Northern University,83,14.5,80,73,Private,Midwest,OH,541,465,24
Ursuline College,68,10.5,80,39,Private,Midwest,OH,434,404,21
Otterbein College,87,13.9,81,62,Private,Midwest,OH,,,24
Defiance College,56,12.8,81,58,Private,Midwest,OH,438,381,21
Baldwin-Wallace College,85,17.6,81,68,Private,Midwest,OH,529,468,23
University of Cincinnati,54,10.8,81,89,Public,Midwest,OH,533,464,23
Case Western Reserve University,67,2.9,81,95,Private,Midwest,OH,,,
Walsh University,68,11.3,82,42,Private,Midwest,OH,,,22
Franciscan University of Steubenville,83,14.9,82,57,Private,Midwest,OH,516,488,24
University of Akron,43,16.7,82,71,Public,Midwest,OH,467,413,20
Denison University,81,11.6,83,88,Private,Midwest,OH,,,
Mount Union College,81,16.7,83,85,Private,Midwest,OH,,,23
Muskingum College,73,13.4,83,73,Private,Midwest,OH,490,436,22
University of Dayton,93,14.8,83,81,Private,Midwest,OH,578,504,25
Cedarville College,64,15.3,83,50,Private,Midwest,OH,524,486,24
Miami University at Oxford,85,17.6,84,81,Public,Midwest,OH,,,
Wilmington College,67,13.3,85,59,Private,Midwest,OH,,,
Malone College,55,17.6,87,42,Private,Midwest,OH,479,433,21
Tiffin University,39,19,87,59,Private,Midwest,OH,372,308,19
Ashland University,66,17.4,87,43,Private,Midwest,OH,438,410,21
John Carroll University,89,14.5,87,89,Private,Midwest,OH,561,502,23
Wittenberg University,78,12.8,88,82,Private,Midwest,OH,577,524,25
Youngstown State University,50,18,88,71,Public,Midwest,OH,,,20
College of Wooster,69,11.1,90,84,Private,Midwest,OH,570,530,24
Xavier University,83,13.3,92,73,Private,Midwest,OH,521,475,24
Antioch University,48,11.3,93,69,Private,Midwest,OH,504,516,24
Heidelberg College,65,12.5,93,68,Private,Midwest,OH,500,420,22
Mount Vernon Nazarene College,58,19.8,95,57,Private,Midwest,OH,,,22
Cleveland State University,35,18.5,95,91,Public,Midwest,OH,440,408,20
Lourdes College,46,9.6,97,17,Private,Midwest,OH,,,19
University of Toledo,48,20.4,97,81,Public,Midwest,OH,504,447,20
Franklin University,33,19.6,100,53,Private,Midwest,OH,,,
Oral Roberts University,45,15.5,53,51,Private,South,OK,520,490,23
Northwestern Oklahoma State University,29,16.2,66,40,Public,South,OK,,,
Oklahoma City University,40,14.6,70,59,Private,South,OK,531,501,23
Phillips University,39,11.6,83,58,Private,South,OK,465,423,22
University of Oklahoma,44,11.5,84,86,Public,South,OK,,,24
Southeastern Oklahoma State Univ.,53,19.6,86,55,Public,South,OK,,,20
Northeastern State University,25,20.2,86,62,Public,South,OK,,,21
Oklahoma State University,48,15.3,87,84,Public,South,OK,540,477,24
Oklahoma Baptist University,50,15.1,90,63,Private,South,OK,,,24
University of Tulsa,47,11.5,91,94,Private,South,OK,576,525,24
University of Central Oklahoma,31,22.8,94,65,Public,South,OK,,,21
Cameron University,36,19.9,95,55,Private,South,OK,,,19
Oklahoma Panhandle State University,29,18.1,98,58,Public,South,OK,,,20
University of Sci. and Arts of Oklahoma,43,23.6,98,67,Public,South,OK,,,20
Oklahoma Christian University,45,16.2,99,58,Private,South,OK,480,440,22
Southern Nazarene University,44,20.8,100,65,Private,South,OK,,,21
Concordia College,41,14.3,69,56,Private,West,OR,466,434,19
Reed College,68,11.8,73,90,Private,West,OR,632,603,28
Lewis and Clark College,69,12.3,75,97,Private,West,OR,,,
