Score,Position,Ethnicity,Sex,Language,Age,NumEvals,ClassSize,CourseLevel,Beauty,ProfOutfit,ProfPic
4.6,TenureTrack,NotMinority,Male,English,43,14,14,Lower,3.5,Other,Color
4.6,Teaching,Minority,Male,English,50,17,24,Lower,3.333,Other,Color
5,Teaching,Minority,Male,English,50,20,22,Lower,3.333,Other,Color
4.9,Teaching,Minority,Male,English,50,21,25,Lower,3.333,Other,Color
4.6,Teaching,Minority,Male,English,50,23,26,Lower,3.333,Other,Color
4.8,Teaching,Minority,Male,English,50,19,22,Lower,3.333,Other,Color
4.9,Teaching,Minority,Male,English,50,20,26,Lower,3.333,Other,Color
4.9,Teaching,Minority,Male,English,50,17,20,Lower,3.333,Other,Color
4.9,Teaching,Minority,Male,English,50,18,22,Lower,3.333,Other,Color
5,Teaching,Minority,Male,English,50,20,21,Lower,3.333,Other,Color
4.5,Teaching,Minority,Male,English,50,19,21,Lower,3.333,Other,Color
3.5,Tenured,NotMinority,Male,English,52,46,69,Upper,5.833,Other,Color
3.8,Tenured,NotMinority,Male,English,52,46,65,Upper,5.833,Other,Color
3.9,Tenured,NotMinority,Male,English,52,39,62,Upper,5.833,Other,Color
3.9,Tenured,NotMinority,Male,English,52,34,67,Upper,5.833,Other,Color
4.2,Tenured,NotMinority,Male,English,52,29,40,Upper,5.833,Other,Color
4.1,Tenured,NotMinority,Male,English,52,27,45,Upper,5.833,Other,Color
4.8,Tenured,NotMinority,Male,English,51,348,574,Lower,6.167,Formal,Color
4.8,Tenured,NotMinority,Male,English,51,372,579,Lower,6.167,Formal,Color
4.8,Tenured,NotMinority,Male,English,51,343,537,Lower,6.167,Formal,Color
4.8,Tenured,NotMinority,Male,English,51,380,581,Lower,6.167,Formal,Color
4.9,Tenured,NotMinority,Male,English,51,322,527,Lower,6.167,Formal,Color
4.2,Tenured,NotMinority,Male,English,38,44,87,Lower,3.333,Other,Color
4.5,Tenured,NotMinority,Male,English,38,66,84,Lower,3.333,Other,Color
3.9,Tenured,NotMinority,Male,English,38,40,79,Lower,3.333,Other,Color
4.4,Tenured,NotMinority,Male,English,38,60,92,Lower,3.333,Other,Color
4,Tenured,NotMinority,Female,English,47,19,24,Lower,5.167,Formal,Color
3.6,Tenured,NotMinority,Female,English,47,38,67,Lower,5.167,Formal,Color
3.7,Tenured,Minority,Female,English,43,47,103,Lower,4.167,Formal,Color
2.7,Tenured,Minority,Female,English,43,93,190,Lower,4.167,Formal,Color
4.5,Teaching,NotMinority,Female,English,38,33,68,Lower,2.5,Other,Color
4.4,Teaching,NotMinority,Female,English,38,36,60,Lower,2.5,Other,Color
3.9,Teaching,NotMinority,Female,English,38,29,64,Lower,2.5,Other,Color
3.6,Teaching,NotMinority,Female,English,38,23,31,Lower,2.5,Other,Color
4.4,Teaching,NotMinority,Female,English,38,36,62,Lower,2.5,Other,Color
4.4,Teaching,NotMinority,Female,English,38,30,37,Lower,2.5,Other,Color
4.7,Tenured,NotMinority,Male,English,43,10,13,Lower,4.333,Formal,Color
4.5,Tenured,NotMinority,Male,English,43,8,13,Lower,4.333,Formal,Color
4.1,Tenured,NotMinority,Male,English,43,12,15,Upper,4.333,Formal,Color
3.7,Tenured,NotMinority,Male,English,43,65,79,Upper,4.333,Formal,Color
4.3,Tenured,NotMinority,Male,English,57,7,13,Upper,3,Other,Color
3.5,Tenured,NotMinority,Male,English,57,53,98,Upper,3,Other,Color
3.7,Tenured,NotMinority,Male,English,57,58,97,Upper,3,Other,Color
4,Tenured,NotMinority,Female,English,51,9,11,Upper,6.333,Other,Color
4,Tenured,NotMinority,Female,English,51,67,78,Upper,6.333,Other,Color
3.1,Tenured,NotMinority,Female,English,51,36,56,Upper,6.333,Other,Color
4.5,Tenured,NotMinority,Female,English,51,17,20,Upper,6.333,Other,Color
4.8,Teaching,NotMinority,Male,English,45,12,17,Lower,3.333,Other,Color
4.2,Teaching,NotMinority,Male,English,45,17,20,Lower,3.333,Other,Color
4.9,Teaching,NotMinority,Male,English,45,13,19,Lower,3.333,Other,Color
4.8,Teaching,NotMinority,Male,English,45,19,26,Lower,3.333,Other,Color
3.5,Tenured,NotMinority,Male,English,57,13,14,Lower,2.833,Other,BW
3.6,Tenured,NotMinority,Male,English,57,12,18,Lower,2.833,Other,BW
4.4,Tenured,NotMinority,Male,English,57,12,12,Lower,2.833,Other,BW
3.4,Tenured,NotMinority,Male,English,57,16,19,Lower,2.833,Other,BW
3.9,Tenured,NotMinority,Male,English,57,12,16,Lower,2.833,Other,BW
3.8,Tenured,NotMinority,Male,English,57,14,16,Lower,2.833,Other,BW
4.8,Tenured,NotMinority,Male,English,57,11,12,Lower,2.833,Other,BW
4.6,Tenured,NotMinority,Male,English,57,15,17,Lower,2.833,Other,BW
5,Tenured,NotMinority,Male,English,57,6,15,Upper,2.833,Other,BW
3.8,Tenured,NotMinority,Male,English,57,15,16,Lower,2.833,Other,BW
4.2,Tenured,NotMinority,Male,English,57,12,17,Lower,2.833,Other,BW
3.3,Teaching,NotMinority,Female,English,47,16,21,Lower,6.667,Other,BW
4.7,Teaching,NotMinority,Female,English,47,15,17,Lower,6.667,Other,BW
4.6,Teaching,NotMinority,Female,English,47,10,10,Lower,6.667,Other,BW
4.6,Teaching,NotMinority,Female,English,47,16,17,Lower,6.667,Other,BW
4,Teaching,NotMinority,Female,English,47,15,17,Lower,6.667,Other,BW
4.2,Tenured,Minority,Female,English,54,18,18,Lower,6.833,Other,BW
4.9,Tenured,Minority,Female,English,54,15,16,Lower,6.833,Other,BW
4.5,Tenured,Minority,Female,English,54,21,26,Lower,6.833,Other,BW
4.8,Tenured,Minority,Female,English,54,14,18,Lower,6.833,Other,BW
3.8,Tenured,Minority,Female,English,54,16,20,Lower,6.833,Other,BW
4.8,Teaching,NotMinority,Male,English,58,16,17,Lower,7.833,Other,BW
5,Teaching,NotMinority,Male,English,58,21,21,Lower,7.833,Other,BW
5,Teaching,NotMinority,Male,English,58,18,21,Lower,7.833,Other,BW
4.9,Teaching,NotMinority,Male,English,58,17,20,Lower,7.833,Other,BW
4.6,Teaching,NotMinority,Male,English,58,19,20,Lower,7.833,Other,BW
5,Teaching,NotMinority,Male,English,58,11,13,Lower,7.833,Other,BW
4.8,Teaching,NotMinority,Male,English,58,14,16,Lower,7.833,Other,BW
4.9,Teaching,NotMinority,Male,English,58,16,17,Lower,7.833,Other,BW
4.9,Tenured,NotMinority,Male,English,42,15,18,Lower,7.833,Other,BW
3.9,Tenured,NotMinority,Male,English,42,22,24,Lower,7.833,Other,BW
3.9,Tenured,NotMinority,Male,English,42,17,20,Upper,7.833,Other,BW
4.5,TenureTrack,NotMinority,Male,English,33,85,120,Lower,5.833,Other,Color
4.5,TenureTrack,NotMinority,Male,English,33,67,155,Lower,5.833,Other,Color
3.3,Tenured,NotMinority,Male,English,62,11,38,Lower,2,Other,Color
3.1,Tenured,NotMinority,Male,English,62,28,70,Lower,2,Other,Color
2.8,Tenured,NotMinority,Male,English,62,61,149,Lower,2,Other,Color
3.1,Tenured,NotMinority,Male,English,62,49,137,Lower,2,Other,Color
4.2,Tenured,NotMinority,Male,English,62,13,29,Upper,2,Other,Color
3.4,Tenured,NotMinority,Male,English,62,28,55,Lower,2,Other,Color
3,Tenured,NotMinority,Male,English,62,67,136,Lower,2,Other,Color
3.3,TenureTrack,Minority,Female,English,35,60,96,Lower,7.833,Other,Color
3.6,TenureTrack,Minority,Female,English,35,20,60,Lower,7.833,Other,Color
3.7,TenureTrack,Minority,Female,English,35,43,108,Lower,7.833,Other,Color
3.6,Tenured,NotMinority,Male,English,61,27,39,Lower,3.333,Other,Color
4.3,Tenured,NotMinority,Male,English,61,13,15,Lower,3.333,Other,Color
4.1,Tenured,NotMinority,Female,English,52,61,111,Lower,4.5,Other,Color
4.9,Tenured,NotMinority,Female,English,52,14,17,Lower,4.5,Other,Color
4.8,Tenured,NotMinority,Female,English,52,19,19,Lower,4.5,Other,Color
3.7,TenureTrack,NotMinority,Female,Other,60,23,27,Upper,4.333,Formal,BW
3.9,TenureTrack,NotMinority,Female,Other,60,18,19,Upper,4.333,Formal,BW
4.5,TenureTrack,NotMinority,Female,Other,60,11,13,Upper,4.333,Formal,BW
3.6,TenureTrack,NotMinority,Female,Other,60,18,19,Upper,4.333,Formal,BW
4.4,TenureTrack,NotMinority,Female,Other,60,11,22,Upper,4.333,Formal,BW
3.4,TenureTrack,NotMinority,Female,Other,60,7,20,Upper,4.333,Formal,BW
4.4,TenureTrack,NotMinority,Female,Other,60,24,27,Upper,4.333,Formal,BW
4.5,TenureTrack,NotMinority,Male,English,32,98,132,Lower,6.833,Other,Color
4.5,TenureTrack,NotMinority,Male,English,32,111,127,Lower,6.833,Other,Color
4.5,TenureTrack,NotMinority,Male,English,32,62,85,Upper,6.833,Other,Color
4.6,TenureTrack,NotMinority,Male,English,32,76,101,Lower,6.833,Other,Color
4.1,TenureTrack,NotMinority,Male,English,32,9,21,Lower,6.833,Other,Color
4.5,TenureTrack,NotMinority,Male,English,32,52,86,Upper,6.833,Other,Color
3.5,TenureTrack,Minority,Female,Other,42,48,84,Upper,5.333,Other,Color
4.4,TenureTrack,Minority,Female,Other,42,52,67,Upper,5.333,Other,Color
4.4,TenureTrack,Minority,Female,Other,42,54,66,Upper,5.333,Other,Color
4.1,TenureTrack,Minority,Female,Other,42,28,35,Lower,5.333,Other,Color
